,site_eui
0,248.6826155
1,26.50014971
2,24.69361928
3,48.40692567
4,3.899395164
5,6.597715397999999
6,12.81784116
7,22.39201437
8,28.19957781
9,29.51595179
10,31.28368441
11,54.89753724
12,79.3
13,608.8395194
14,2.69941313
15,24.6
16,31.98367393
17,33.58037129
18,58.97889662
19,66.77932779
20,76.86879707
21,80.09880081
22,94.47290216
23,152.29039
24,287.8634479
25,241.932986
26,264.0687222
27,3.9
28,16.19866457
29,24.79252489
30,33.69348454
31,34.58527435
32,35.09073134
33,44.42611124
34,44.69769144
35,45.18292986
36,50.23459615
37,56.86854705
38,58.9991167
39,61.73842054
40,61.8072715
41,63.56134291
42,68.26291489
43,77.29228535
44,78.95127929
45,80.18327944
46,81.60588218
47,82.09986376
48,82.28510667
49,89.25002919
50,89.33964518
51,104.6907822
52,110.0991758
53,118.1124366
54,132.963656
55,136.9263657
56,142.47816830000005
57,209.2121686
58,228.4
59,5.797727375
60,9.49821843
61,11.3
62,14.30634329
63,18.2
64,20.70394341
65,21.61497717
66,23.29145445
67,24.91374804
68,25.81108915
69,26.3
70,27.89029269
71,28.02908900000001
72,30.10141403
73,30.18697956
74,30.1959488
75,31.09406992
76,31.26838536
77,32.79349802
78,33.59457894
79,37.2
80,37.60927315
81,39.0
82,40.45622427
83,43.09475934
84,44.72665319
85,44.89556554
86,48.50528483
87,50.09935175
88,52.4
89,57.42482371
90,57.60678793
91,58.94392544
92,60.30237593
93,60.81165806
94,61.15373007
95,63.93230856
96,70.30113332
97,72.51421514
98,73.41092297
99,79.47312673
100,86.59989820000001
101,88.8
102,93.02756943
103,94.5
104,98.03623774
105,107.1011288
106,117.25726029999998
107,124.8336477
108,128.7712958
109,160.0561794
110,169.579976
111,175.90633359999995
112,217.1
113,275.97728870000003
114,14.29705367
115,20.70078299
116,23.79035407
117,34.39128827
118,37.30709185
119,47.98288794
120,61.87776181
121,62.5149113
122,63.9
123,66.19791601
124,68.02138633
125,69.07820046
126,75.1
127,77.59173441
128,82.10368890000002
129,86.85880829
130,87.3
131,87.70415001
132,88.33529007
133,90.38129052
134,99.83183771
135,100.7027981
136,104.7902343
137,110.8043521
138,35.20275170000001
139,70.59839659
140,38.3
141,67.46510966
142,67.68641815
143,112.1835706
144,285.8629329
145,2.623458343
146,22.2132218
147,23.33735609
148,34.28801108
149,38.44698031
150,39.20433116
151,40.59884572
152,40.97425107
153,41.66713526
154,43.00646006
155,43.47803728
156,46.33919754
157,47.42696759
158,47.7
159,47.70147167
160,49.67630511
161,49.74898121
162,50.61027697
163,50.99486489
164,51.9981286
165,52.3
166,52.48664571
167,53.07188263
168,53.19920353
169,53.6
170,54.79426155
171,54.91570926
172,55.0
173,55.39643836
174,56.90242683
175,57.03466727
176,58.2
177,58.41278689
178,58.47781271
179,59.59692193
180,60.78269631
181,61.38979115
182,62.16901415
183,62.19961524
184,63.2192724
185,63.27172992
186,63.89904334
187,65.79513586
188,66.26239539
189,67.00118272
190,67.4689348
191,67.5
192,68.27384086
193,68.99623475
194,71.06614866
195,72.61913167
196,77.0895561
197,77.36714724
198,77.99172842
199,79.66929859999998
200,79.81137361
201,82.69856127
202,83.47970282
203,92.19698031
204,108.6961868
205,115.99284679999998
206,32.69896399
207,32.71535744
208,34.20766749
209,36.3
210,36.4
211,37.1
212,38.28467251
213,39.08138184
214,40.31663822
215,41.29941762
216,43.3
217,43.6
218,46.50531477
219,46.59602365
220,48.99325548
221,50.04405869
222,50.39104873
223,51.98883899
224,52.2
225,53.38772513
226,54.19590987
227,56.0
228,56.30735384
229,57.03029418
230,57.53028670000001
231,58.9707014
232,59.10912044
233,61.22695262
234,61.8072715
235,61.98431769
236,62.0968845
237,62.68977169
238,64.33127779
239,66.80227861
240,66.90391646
241,67.83450258
242,71.8
243,77.84528183
244,93.00297926
245,96.68561494
246,105.7300831
247,19.69875964
248,29.11213264
249,29.83037802
250,32.59732615
251,36.70600793
252,41.11851037
253,42.59585598
254,43.02285351
255,43.19498166
256,43.80372782
257,44.53102627
258,47.80802755
259,54.5904394
260,55.42813085
261,57.09695935
262,61.80126057
263,66.43944158
264,69.46507972
265,74.66226963
266,75.19778127
267,76.4704394
268,76.47863613
269,84.17032113
270,87.86819448
271,91.62267236
272,94.0
273,98.80016019
274,103.1
275,112.6983113
276,127.578416
277,132.6892687
278,162.8691459
279,2.599961075
280,10.399844300000002
281,11.0
282,26.81380642
283,56.82811139
284,57.0838446
285,61.31156299
286,83.94956359
287,99.0
288,113.1988794
289,138.7383562
290,155.6838072
291,177.6962467
292,454.2997485
293,5.193950146000001
294,8.190041171
295,21.50229808
296,24.91383487
297,26.43094992
298,35.99071937
299,38.04970282
300,42.81138109
301,43.78054645
302,45.70587319
303,48.16703795
304,48.26321282
305,49.61674377
306,51.39431245
307,53.0
308,53.29264466
309,55.77566734
310,55.77621379
311,56.10844973
312,59.10912044
313,59.45320758
314,61.38214088
315,61.39252339
316,62.5
317,63.60014073
318,64.47116551
319,65.15367018
320,66.12086833
321,66.1432712
322,67.70554383
323,71.49073284
324,72.3808833
325,72.88688674
326,73.34644509
327,76.24038775
328,78.2
329,80.75895801
330,84.06650049
331,87.59213115
332,88.88828655
333,90.17952392
334,90.85383038
335,91.39753874
336,92.81609701
337,103.5033685
338,106.8169803
339,128.75544879999998
340,130.0
341,45.00697657
342,68.7
343,248.7438177
344,41.26690396
345,48.16813085
346,61.08105247
347,62.39688001
348,64.98317988
349,66.78829778
350,70.08146418
351,72.220777
352,79.2961277
353,82.62717868
