iter	Passed	Remaining
0	1012	505330
1	1887	469944
2	2738	453684
3	3714	460642
4	4615	456976
5	5520	454546
6	6338	446408
7	7145	439429
8	8132	443692
9	8927	437468
10	9716	431964
11	10605	431309
12	11427	428081
13	12332	428113
14	13266	428962
15	14165	428518
16	15095	428898
17	16020	428983
18	17038	431340
19	17747	425940
20	18569	423551
21	19648	426911
22	20494	425048
23	21440	425229
24	22213	422058
25	22953	418451
26	23714	415442
27	24634	415268
28	25403	412590
29	26037	407924
30	26784	405225
31	27469	401738
32	28318	400751
33	29061	398316
34	29862	396748
35	30588	394251
36	31262	391206
37	31925	388152
38	32685	386360
39	33501	385263
40	34184	382694
41	34861	380155
42	35564	377973
43	36390	377135
44	37169	375823
45	38117	376201
46	38925	375178
47	39743	374252
48	40621	373881
49	41439	372959
50	42198	371513
51	42916	369740
52	43749	368982
53	44574	368148
54	45376	367140
55	46100	365508
56	46843	364067
57	47694	363467
58	48533	362766
59	49398	362254
60	50204	361307
61	50974	360111
62	51858	359716
63	52703	359045
64	53558	358433
65	54392	357675
66	55187	356659
67	56023	355913
68	56853	355129
69	57690	354382
70	58463	353254
71	59244	352174
72	59978	350832
73	60797	349996
74	61564	348866
75	62378	348009
76	63130	346808
77	63972	346106
78	64640	344477
79	65434	343531
80	66482	343902
81	67230	342710
82	68038	341832
83	68782	340637
84	69632	339971
85	70397	338888
86	71113	337582
87	71885	336553
88	72618	335348
89	73366	334224
90	74140	333223
91	74845	331923
92	75486	330356
93	76243	329307
94	77108	328725
95	77946	328023
96	78906	327829
97	79805	327366
98	80608	326503
99	81568	326272
100	82518	325990
101	83342	325200
102	84315	324984
103	85225	324513
104	86080	323827
105	86963	323241
106	87723	322200
107	88518	321289
108	89309	320366
109	90079	319372
110	90948	318728
111	91764	317898
112	92570	317031
113	93511	316626
114	94411	316074
115	95328	315569
116	96288	315199
117	97161	314539
118	97995	313749
119	98995	313484
120	99899	312909
121	100849	312467
122	101605	311425
123	102491	310780
124	103302	309908
125	104173	309212
126	104852	307951
127	105642	307023
128	106540	306408
129	107386	305638
130	108169	304690
131	108892	303580
132	109629	302511
133	110328	301344
134	111100	300383
135	111943	299613
136	112848	299007
137	113690	298230
138	114520	297423
139	115281	296436
140	116028	295420
141	116786	294434
142	117714	293875
143	118489	292931
144	119349	292200
145	120301	291690
146	121103	290814
147	122070	290329
148	123096	289978
149	124128	289632
150	124940	288770
151	125826	288077
152	126825	287636
153	127690	286889
154	128536	286096
155	129376	285292
156	130308	284686
157	131318	284245
158	132237	283604
159	133216	283085
160	134001	282152
161	135069	281810
162	135870	280910
163	136789	280252
164	137679	279531
165	138560	278790
166	139485	278136
167	140426	277510
168	141312	276771
169	142149	275936
170	142993	275115
171	143840	274300
172	144764	273629
173	145471	272550
174	146336	271766
175	147243	271062
176	148235	270508
177	149190	269884
178	150043	269071
179	150817	268120
180	151645	267265
181	152498	266454
182	153235	265441
183	154219	264855
184	155699	265110
185	156618	264399
186	157488	263603
187	158266	262655
188	159052	261720
189	159852	260812
190	160712	260000
191	161626	259275
192	162613	258665
193	163613	258071
194	164300	256982
195	165352	256465
196	166238	255686
197	167282	255148
198	168130	254308
199	169071	253607
200	169997	252881
201	170762	251917
202	171693	251196
203	172660	250527
204	173626	249852
205	174369	248857
206	175493	248403
207	176371	247598
208	177344	246924
209	178101	245949
210	179004	245177
211	179915	244413
212	180853	243684
213	181768	242923
214	182777	242287
215	183696	241527
216	184582	240722
217	185550	240024
218	186713	239573
219	187722	238919
220	188676	238193
221	189613	237444
222	190445	236562
223	191395	235826
224	192230	234948
225	192942	233920
226	193855	233138
227	194589	232141
228	195459	231307
229	196344	230491
230	197220	229663
231	198018	228745
232	198825	227838
233	199731	227045
234	200616	226226
235	201515	225424
236	202520	224737
237	203610	224142
238	204703	223546
239	205701	222842
240	206462	221883
241	207374	221085
242	208309	220311
243	209152	219439
244	210106	218682
245	211120	217986
246	212043	217194
247	213227	216666
248	214285	216006
249	215405	215405
250	216422	214698
251	217397	213946
252	218323	213146
253	219094	212194
254	219996	211369
255	221000	210641
256	222036	209940
257	222918	209093
258	224079	208506
259	225083	207768
260	226117	207058
261	227066	206266
262	228114	205563
263	228992	204705
264	229919	203890
265	230963	203178
266	231836	202314
267	232705	201446
268	233480	200498
269	234325	199610
270	235349	198874
271	236291	198068
272	237044	197102
273	237914	196236
274	238632	195244
275	239413	194306
276	240290	193446
277	241191	192606
278	241990	191684
279	242811	190780
280	243855	190051
281	244767	189217
282	245641	188353
283	246652	187594
284	247693	186856
285	248518	185954
286	249545	185202
287	250427	184342
288	251318	183488
289	252152	182593
290	253347	181957
291	254141	181032
292	255194	180291
293	256359	179626
294	257516	178952
295	258589	178217
296	259672	177486
297	260646	176680
298	261744	175955
299	262960	175307
300	263901	174472
301	264790	173604
302	265768	172793
303	266721	171965
304	267762	171192
305	268630	170308
306	269745	169579
307	270615	168695
308	271681	167932
309	272575	167062
310	273499	166210
311	274242	165248
312	275363	164514
313	276322	163681
314	277403	162919
315	278641	162247
316	279337	161257
317	280258	160399
